sample-id	absolute-filepath
SRR505185.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505185.fastq.gz
SRR505186.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505186.fastq.gz
SRR505187.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505187.fastq.gz
SRR505188.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505188.fastq.gz
SRR505189.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505189.fastq.gz
SRR505190.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505190.fastq.gz
SRR505191.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505191.fastq.gz
SRR505192.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505192.fastq.gz
SRR505193.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505193.fastq.gz
SRR505194.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505194.fastq.gz
SRR505195.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505195.fastq.gz
SRR505196.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505196.fastq.gz
SRR505197.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505197.fastq.gz
SRR505198.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505198.fastq.gz
SRR505199.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505199.fastq.gz
SRR505200.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505200.fastq.gz
SRR505201.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505201.fastq.gz
SRR505202.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505202.fastq.gz
SRR505203.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505203.fastq.gz
SRR505204.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505204.fastq.gz
SRR505205.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505205.fastq.gz
SRR505206.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505206.fastq.gz
SRR505207.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505207.fastq.gz
SRR505208.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505208.fastq.gz
SRR505209.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505209.fastq.gz
SRR505210.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505210.fastq.gz
SRR505211.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505211.fastq.gz
SRR505212.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505212.fastq.gz
SRR505213.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505213.fastq.gz
SRR505214.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505214.fastq.gz
SRR505215.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505215.fastq.gz
SRR505216.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505216.fastq.gz
SRR505217.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505217.fastq.gz
SRR505218.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505218.fastq.gz
SRR505219.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505219.fastq.gz
SRR505220.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505220.fastq.gz
SRR505221.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505221.fastq.gz
SRR505222.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505222.fastq.gz
SRR505223.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505223.fastq.gz
SRR505224.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505224.fastq.gz
SRR505225.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505225.fastq.gz
SRR505226.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505226.fastq.gz
SRR505227.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505227.fastq.gz
SRR505228.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505228.fastq.gz
SRR505229.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505229.fastq.gz
SRR505230.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505230.fastq.gz
SRR505231.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505231.fastq.gz
SRR505232.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505232.fastq.gz
SRR505233.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505233.fastq.gz
SRR505234.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505234.fastq.gz
SRR505235.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505235.fastq.gz
SRR505236.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505236.fastq.gz
SRR505237.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505237.fastq.gz
SRR505238.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505238.fastq.gz
SRR505239.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505239.fastq.gz
SRR505240.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505240.fastq.gz
SRR505241.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505241.fastq.gz
SRR505242.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505242.fastq.gz
SRR505243.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505243.fastq.gz
SRR505244.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505244.fastq.gz
SRR505245.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505245.fastq.gz
SRR505246.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505246.fastq.gz
SRR505247.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505247.fastq.gz
SRR505248.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505248.fastq.gz
SRR505249.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505249.fastq.gz
SRR505250.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505250.fastq.gz
SRR505251.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505251.fastq.gz
SRR505252.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505252.fastq.gz
SRR505253.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505253.fastq.gz
SRR505254.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505254.fastq.gz
SRR505255.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505255.fastq.gz
SRR505256.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505256.fastq.gz
SRR505257.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505257.fastq.gz
SRR505258.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505258.fastq.gz
SRR505259.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505259.fastq.gz
SRR505260.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505260.fastq.gz
SRR505261.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505261.fastq.gz
SRR505262.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505262.fastq.gz
SRR505263.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505263.fastq.gz
SRR505264.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505264.fastq.gz
SRR505265.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505265.fastq.gz
SRR505266.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505266.fastq.gz
SRR505267.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505267.fastq.gz
SRR505268.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505268.fastq.gz
SRR505269.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505269.fastq.gz
SRR505270.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505270.fastq.gz
SRR505271.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505271.fastq.gz
SRR505272.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505272.fastq.gz
SRR505573.fastq.gz	/datasets/project_2/vaccine/seqs/SRR505573.fastq.gz
